编号,名称,院系
1,信息科学技术概论,信息学院
2,电子信息科学与技术导引,信息学院
3,兵器科学与技术,兵器科学与技术学院
4,工程图学基础,机械工程学院
5,现代汉语语音及词汇,中文系
6,汉语史概说,中文系
7,探索人类语言的奥秘,外语系
8,英语语言文学,外语系
9,文献综述,外语系
10,西方文化基础,外语系
11,外语实践,外语系
12,跨文化交流,外语系
13,影视欣赏,外语系
14,阿拉伯语,语言中心
15,波斯语,语言中心
16,日语,语言中心
17,梵语,中文系
18,泰语,外语系
19,思想道德修养与法律基础,马克思主义学院
20,中国近现代史纲要,马克思主义学院
21,马克思主义基本原理,马克思主义学院
22,毛泽东思想和中国特色社会主义理论体系概论,马克思主义学院
23,形势与政策,马克思主义学院
24,高等数学,数学学院
25,线性代数,数学学院
26,概率论与数理统计,数学学院
27,复变函数与积分变换,数学学院
28,数学物理方法,数学学院
29,数值分析,数学学院
30,运筹学,数学学院
31,大学物理,物理学院
32,大学物理实验,物理学院
33,热力学与统计物理,物理学院
34,电磁学,物理学院
35,光学,物理学院
36,量子力学,物理学院
37,固体物理学,物理学院
38,无机化学,化学学院
39,有机化学,化学学院
40,分析化学,化学学院
41,物理化学,化学学院
42,结构化学,化学学院
43,化工原理,化学工程学院
44,化工热力学,化学工程学院
45,化学反应工程,化学工程学院
46,化工分离工程,化学工程学院
47,化工过程分析与合成,化学工程学院
48,精细化学品化学,化学工程学院
49,生物化学,生物学院
50,分子生物学,生物学院
51,细胞生物学,生物学院
52,遗传学,生物学院
53,微生物学,生物学院
54,生态学,生物学院
55,植物生物学,生物学院
56,动物生物学,生物学院
57,人体解剖学,医学院
58,组织学与胚胎学,医学院
59,生理学,医学院
60,生物化学与分子生物学,医学院
61,医学微生物学,医学院
62,医学免疫学,医学院
63,病理学,医学院
64,药理学,医学院
65,内科学,医学院
66,外科学,医学院
67,妇产科学,医学院
68,儿科学,医学院
69,神经病学,医学院
70,精神病学,医学院
71,传染病学,医学院
72,皮肤性病学,医学院
73,眼科学,医学院
74,耳鼻咽喉科学,医学院
75,口腔科学,医学院
76,影像诊断学,医学院
77,核医学,医学院
78,放射治疗学,医学院
79,超声医学,医学院
80,临床检验诊断学,医学院
81,护理学基础,护理学院
82,内科护理学,护理学院
83,外科护理学,护理学院
84,妇产科护理学,护理学院
85,儿科护理学,护理学院
86,急救护理学,护理学院
87,社区护理学,护理学院
88,精神科护理学,护理学院
89,中医基础理论,中医学院
90,中医诊断学,中医学院
91,中药学,中医学院
92,方剂学,中医学院
93,中医内科学,中医学院
94,中医外科学,中医学院
95,中医妇科学,中医学院
96,中医儿科学,中医学院
97,针灸学,中医学院
98,推拿学,中医学院
99,中药药理学,中医学院
100,中药炮制学,中医学院
101,中药制剂学,中医学院
102,中药化学,中医学院
103,中药资源学,中医学院
104,基础心理学,心理学系
105,应用心理学,心理学系
106,发展心理学,心理学系
107,教育心理学,心理学系
108,社会心理学,心理学系
109,实验心理学,心理学系
110,工业心理学,心理学系
111,临床心理学,心理学系
112,管理心理学,心理学系
113,体育心理学,心理学系
114,心理咨询与治疗,心理学系
115,心理测量与评估,心理学系
116,心理统计学,心理学系
117,心理实验设计,心理学系
118,心理与健康,心理学系
119,心理学史,心理学系
120,心理学的理论与方法,心理学系
121,电子商务,商学院
122,市场营销,商学院
123,会计学,商学院
124,财务管理,商学院
125,人力资源管理,商学院
126,战略管理,商学院
127,运营管理,商学院
128,供应链管理,商学院
129,创业管理,商学院
130,风险投资,商学院
131,国际商务,商学院
132,市场营销策划,商学院
133,消费者行为学,商学院
134,广告学,商学院
135,品牌管理,商学院
136,公共关系学,商学院
137,新闻学,新闻与传播学院
138,传播学,新闻与传播学院
139,广告策划与创意,新闻与传播学院
140,媒体经营管理,新闻与传播学院
141,数字媒体技术,新闻与传播学院
142,影视制作,新闻与传播学院
143,网络与新媒体,新闻与传播学院
144,编辑出版学,新闻与传播学院
145,国际传播,新闻与传播学院
146,跨文化交流,新闻与传播学院
147,法理学,法学院
148,宪法学,法学院
149,民法学,法学院
150,刑法学,法学院
151,国际法学,法学院
152,经济法学,法学院
153,知识产权法学,法学院
154,诉讼法学,法学院
155,行政法学,法学院
156,商法学,法学院
157,环境法学,法学院
158,劳动与社会保障法学,法学院
159,国际经济法学,法学院
160,法律实务,法学院
161,法律文书写作,法学院
162,建筑学,建筑学院
163,城市规划,建筑学院
164,风景园林,建筑学院
165,建筑设计,建筑学院
166,建筑结构,建筑学院
167,建筑施工技术,建筑学院
168,建筑设备工程,建筑学院
169,建筑物理,建筑学院
170,建筑节能技术,建筑学院
171,建筑经济学,建筑学院
172,土木工程,土木工程学院
173,水利工程,土木工程学院
174,交通工程,土木工程学院
175,环境工程,土木工程学院
176,测绘工程,土木工程学院
177,地质工程,土木工程学院
178,工程力学,土木工程学院
179,工程管理,土木工程学院
180,工程造价,土木工程学院
181,给排水科学与工程,土木工程学院
182,建筑环境与能源应用工程,土木工程学院
183,材料科学与工程,材料科学与工程学院
184,材料成型及控制工程,材料科学与工程学院
185,功能材料,材料科学与工程学院
186,新材料技术,材料科学与工程学院
187,材料物理,材料科学与工程学院
188,材料化学,材料科学与工程学院
189,机械设计制造及其自动化,机械工程学院
190,车辆工程,机械工程学院
191,工业设计,机械工程学院
192,过程装备与控制工程,机械工程学院
193,机械工程测试技术,机械工程学院
194,机械工程材料,机械工程学院
195,机电传动控制,机械工程学院
196,机械工程制造及其自动化,机械工程学院
197,精密仪器与机械学,机械工程学院
198,测试计量技术及仪器,机械工程学院
199,微机电系统工程,机械工程学院
200,机器人工程,机械工程学院
201,电气工程及其自动化,电气工程学院
202,自动化,电气工程学院
203,智能电网信息工程,电气工程学院
204,高电压与绝缘技术,电气工程学院
205,电力电子与电力传动,电气工程学院
206,电工理论与新技术,电气工程学院
207,电子信息工程,电子信息工程学院
208,通信工程,电子信息工程学院
209,光电信息科学与工程,电子信息工程学院
210,电磁场与无线技术,电子信息工程学院
211,微电子科学与工程,电子信息工程学院
212,集成电路设计与集成系统,电子信息工程学院
213,计算机科学与技术,计算机科学与技术学院
214,软件工程,计算机科学与技术学院
215,物联网工程,计算机科学与技术学院
216,数字媒体技术,计算机科学与技术学院
217,智能科学与技术,计算机科学与技术学院
218,数据科学与大数据技术,计算机科学与技术学院
219,航空航天工程,航空航天学院
220,飞行器设计与工程,航空航天学院
221,飞行器动力工程,航空航天学院
222,飞行器制造工程,航空航天学院
223,飞行器环境与生命保障工程,航空航天学院
224,航空航天类（实验班）,航空航天学院
225,生物医学工程,生物医学工程学院
226,假肢矫形工程,生物医学工程学院
227,康复工程,生物医学工程学院
228,生物信息学,生物医学工程学院
229,化学工程与工艺,化学工程与工艺学院
230,制药工程,化学工程与工艺学院
231,生物工程,生物工程学院
232,生物技术,生物工程学院
233,药学,药学院
234,药物制剂,药学院
235,临床药学,药学院
236,中药学,药学院
237,海洋科学,海洋学院
238,海洋技术,海洋学院
239,海洋资源开发技术,海洋学院
240,船舶与海洋工程,船舶与海洋工程学院
241,轮机工程,船舶与海洋工程学院
242,航海技术,船舶与海洋工程学院
243,交通运输,交通运输工程学院
244,交通工程,交通运输工程学院
245,物流工程,交通运输工程学院
246,土木工程（道路与桥梁方向）,土木工程学院
247,土木工程（建筑工程方向）,土木工程学院
248,土木工程（地下工程方向）,土木工程学院
249,土木工程（水利水电方向）,土木工程学院
250,环境工程,环境科学与工程学院
251,环境科学,环境科学与工程学院
252,资源环境科学,环境科学与工程学院
253,给排水科学与工程,环境科学与工程学院
254,安全工程,安全工程学院
255,消防工程,安全工程学院
256,应急技术与管理,安全工程学院
257,经济学,经济学院
258,金融学,经济学院
259,国际经济与贸易,经济学院
260,财政学,经济学院
261,税收学,经济学院
262,保险学,经济学院
263,投资学,经济学院
264,工商管理,工商管理学院
265,市场营销（数字营销方向）,工商管理学院
266,会计学（注册会计师方向）,工商管理学院
